"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-01",100.5505,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-02",100.481,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-03",100.3982,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-04",100.338,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-05",100.3271,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-06",100.3624,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-07",100.4168,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.4939,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.6089,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.7745,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.9751,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2005-12",101.168,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-01",101.3191,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-02",101.4165,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-03",101.4516,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-04",101.4233,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-05",101.3578,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-06",101.2952,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-07",101.2579,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-08",101.2676,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-09",101.3338,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-10",101.4345,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-11",101.5527,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2006-12",101.6804,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-01",101.806,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-02",101.9307,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-03",102.0615,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-04",102.1871,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-05",102.282,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-06",102.3279,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-07",102.3098,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-08",102.2258,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-09",102.1066,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-10",101.9745,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-11",101.835,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2007-12",101.7002,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-01",101.5586,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-02",101.3952,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-03",101.2105,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-04",100.9826,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-05",100.6813,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-06",100.2645,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-07",99.69695,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-08",98.95914,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-09",98.06454,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-10",97.07954,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-11",96.13632,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-12",95.3438,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-01",94.77097,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-02",94.45782,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-03",94.42256,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-04",94.65234,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-05",95.06969,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-06",95.60064,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-07",96.17962,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-08",96.76425,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-09",97.32325,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-10",97.83983,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-11",98.31383,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-12",98.74962,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-01",99.12674,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-02",99.41027,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-03",99.60149,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-04",99.68105,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-05",99.65964,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-06",99.58008,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-07",99.51188,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-08",99.5089,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-09",99.58306,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-10",99.71863,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-11",99.90811,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-12",100.1097,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-01",100.2796,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-02",100.3796,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-03",100.3718,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-04",100.2548,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-05",100.0428,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-06",99.75677,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-07",99.44833,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-08",99.18603,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-09",99.04639,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-10",99.0654,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-11",99.2191,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-12",99.45043,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-01",99.68212,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-02",99.84734,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-03",99.9184,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-04",99.89857,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-05",99.80961,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-06",99.69318,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-07",99.60449,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-08",99.56997,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-09",99.60359,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-10",99.68054,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-11",99.78353,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-12",99.91711,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-01",100.0716,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-02",100.2281,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-03",100.3624,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-04",100.4893,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-05",100.6161,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-06",100.7188,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-07",100.7829,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-08",100.8195,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-09",100.8356,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-10",100.8372,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-11",100.8358,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-12",100.8229,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-01",100.8048,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-02",100.8166,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-03",100.8615,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-04",100.9213,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-05",100.9787,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-06",101.0279,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-07",101.059,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-08",101.0743,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-09",101.0725,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-10",101.0416,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-11",100.986,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-12",100.9019,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-01",100.7963,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-02",100.6824,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-03",100.5697,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-04",100.4613,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-05",100.3472,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-06",100.2216,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-07",100.0537,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-08",99.85677,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-09",99.66394,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-10",99.50662,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-11",99.37605,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-12",99.25914,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-01",99.16114,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-02",99.09584,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-03",99.07411,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-04",99.07892,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-05",99.09477,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-06",99.1087,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-07",99.13212,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-08",99.18056,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-09",99.26737,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-10",99.39332,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-11",99.53969,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-12",99.68282,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-01",99.79638,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-02",99.87165,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-03",99.91468,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-04",99.94021,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-05",99.96948,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-06",100.0115,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-07",100.063,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-08",100.1427,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-09",100.2426,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-10",100.3489,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-11",100.4464,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.5362,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.6302,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.7229,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-03",100.7835,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.8014,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-05",100.7863,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.7476,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.6856,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.5973,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.4635,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.2826,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-11",100.0791,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.88288,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.71485,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.58135,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.47469,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.36613,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.25109,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.13972,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.03909,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-08",98.95728,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-09",98.92258,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-10",98.92414,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-11",98.93248,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-12",98.91995,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-01",98.85423,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.72487,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-03",96.78523,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-04",91.76563,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-05",93.23699,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-06",95.2573,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-07",96.91161,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-08",97.63991,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-09",97.89416,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-10",98.22251,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-11",98.59255,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-12",98.98832,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-01",99.34554,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-02",99.71318,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-03",100.0419,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-04",100.3059,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-05",100.4243,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-06",100.547,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-07",100.5775,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-08",100.5799,
